# p15_r-15,p15_r0,p15_r15,p15_r45,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0,p0_r0
4797,1695,855,556,691,242,212,745,273,420,764
1685,3802,1684,139,2273,118,329,420,97,98,605
752,1315,5925,144,1226,122,458,571,621,57,59
81,29,23,9137,0,0,0,0,1603,21,356
600,1282,1615,0,5583,435,526,739,151,278,41
245,83,483,0,1253,4680,2157,554,104,1510,181
379,129,166,16,1003,2308,3555,1704,116,1874,0
399,304,261,7,1029,1180,1873,4645,460,989,103
88,0,682,1711,151,0,44,826,7171,173,404
91,14,216,2,76,1142,1618,262,159,7461,209
1175,0,295,390,250,275,250,0,975,500,7140
